Year,Dimension,Municipio,GeoCode,Value
2019,valor municipio,Fuente la Lancha,14028.0,7.83
2019,valor municipio,Fuente Obejuna,14029.0,591.6
2019,valor municipio,Fuente Palmera,14030.0,65.38
2019,valor municipio,Fuente-Tójar,14031.0,23.65
2019,valor municipio,Granjuela (La),14032.0,56.16
2019,valor municipio,Guadalcázar,14033.0,72.36
2019,valor municipio,Guijarrosa (La),14902.0,45.66
2019,valor municipio,Guijo (El),14034.0,67.26
2019,valor municipio,Hinojosa del Duque,14035.0,531.5
2019,valor municipio,Hornachuelos,14036.0,909.4
2019,valor municipio,Iznájar,14037.0,136.48
2019,valor municipio,Lucena,14038.0,351.93
2019,valor municipio,Luque,14039.0,140.62
2019,valor municipio,Montalbán de Córdoba,14040.0,34.05
2019,valor municipio,Montemayor,14041.0,57.94
2019,valor municipio,Montilla,14042.0,168.98
2019,valor municipio,Montoro,14043.0,585.84
2019,valor municipio,Monturque,14044.0,32.53
2019,valor municipio,Moriles,14045.0,19.58
2019,valor municipio,Nueva Carteya,14046.0,69.16
2019,valor municipio,Obejo,14047.0,215.3
2019,valor municipio,Palenciana,14048.0,16.13
2019,valor municipio,Palma del Río,14049.0,200.23
2019,valor municipio,Pedro Abad,14050.0,23.45
2019,valor municipio,Pedroche,14051.0,121.62
2019,valor municipio,Peñarroya-Pueblonuevo,14052.0,64.89
2019,valor municipio,Posadas,14053.0,160.28
2019,valor municipio,Pozoblanco,14054.0,329.85
2019,valor municipio,Priego de Córdoba,14055.0,288.12
2019,valor municipio,Puente Genil,14056.0,171.01
2019,valor municipio,Rambla (La),14057.0,135.65
2019,valor municipio,Rute,14058.0,131.87
2019,valor municipio,San Sebastián de los Ballesteros,14059.0,10.5
2019,valor municipio,Santa Eufemia,14061.0,187.23
2019,valor municipio,Santaella,14060.0,225.77
2019,valor municipio,Torrecampo,14062.0,196.47
2019,valor municipio,Valenzuela,14063.0,19.03
2019,valor municipio,Valsequillo,14064.0,121.83
2019,valor municipio,Victoria (La),14065.0,19.44
2019,valor municipio,Villa del Río,14066.0,22.06
2019,valor municipio,Villafranca de Córdoba,14067.0,58.3
2019,valor municipio,Villaharta,14068.0,11.96
2019,valor municipio,Villanueva de Córdoba,14069.0,429.39
2019,valor municipio,Villanueva del Duque,14070.0,137.6
2019,valor municipio,Villanueva del Rey,14071.0,215.82
2019,valor municipio,Villaralto,14072.0,23.84
2019,valor municipio,Villaviciosa de Córdoba,14073.0,468.73
2019,valor municipio,Viso (El),14074.0,254.38
2019,valor municipio,Zuheros,14075.0,42.28
2019,valor municipio,Agrón,18001.0,26.99
2019,valor municipio,Alamedilla,18002.0,90.65
2019,valor municipio,Albolote,18003.0,78.53
2019,valor municipio,Albondón,18004.0,34.45
2019,valor municipio,Albuñán,18005.0,8.52
2019,valor municipio,Albuñol,18006.0,63.08
2019,valor municipio,Albuñuelas,18007.0,139.95
2019,valor municipio,Aldeire,18010.0,70.02
2019,valor municipio,Alfacar,18011.0,16.72
2019,valor municipio,Algarinejo,18012.0,92.06
2019,valor municipio,Alhama de Granada,18013.0,432.28
2019,valor municipio,Alhendín,18014.0,50.77
2019,valor municipio,Alicún de Ortega,18015.0,22.82
2019,valor municipio,Almegíjar,18016.0,29.4
2019,valor municipio,Almuñécar,18017.0,83.23
2019,valor municipio,Alpujarra de la Sierra,18904.0,68.48
2019,valor municipio,Alquife,18018.0,12.18
2019,valor municipio,Arenas del Rey,18020.0,92.75
2019,valor municipio,Armilla,18021.0,4.31
2019,valor municipio,Atarfe,18022.0,47.22
2019,valor municipio,Baza,18023.0,544.95
2019,valor municipio,Beas de Granada,18024.0,23.18
2019,valor municipio,Beas de Guadix,18025.0,16.22
2019,valor municipio,Benalúa,18027.0,8.68
2019,valor municipio,Benalúa de las Villas,18028.0,21.64
2019,valor municipio,Benamaurel,18029.0,127.78
2019,valor municipio,Bérchules,18030.0,69.53
2019,valor municipio,Bubión,18032.0,14.85
2019,valor municipio,Busquístar,18033.0,18.02
2019,valor municipio,Cacín,18034.0,39.58
2019,valor municipio,Cádiar,18035.0,47.28
2019,valor municipio,Cájar,18036.0,1.65
2019,valor municipio,Calahorra (La),18114.0,39.42
2019,valor municipio,Calicasas,18037.0,11.24
2019,valor municipio,Campotéjar,18038.0,35.79
2019,valor municipio,Caniles,18039.0,216.59
2019,valor municipio,Cáñar,18040.0,26.33
2019,valor municipio,Capileira,18042.0,56.85
2019,valor municipio,Carataunas,18043.0,4.66
2019,valor municipio,Cástaras,18044.0,28.34
2019,valor municipio,Castilléjar,18045.0,131.22
2019,valor municipio,Castril,18046.0,243.05
2019,valor municipio,Cenes de la Vega,18047.0,6.48
2019,valor municipio,Chauchina,18059.0,21.2
2019,valor municipio,Chimeneas,18061.0,90.27
2019,valor municipio,Churriana de la Vega,18062.0,6.6
2019,valor municipio,Cijuela,18048.0,17.91
2019,valor municipio,Cogollos de Guadix,18049.0,30.23
2019,valor municipio,Cogollos de la Vega,18050.0,49.83
2019,valor municipio,Colomera,18051.0,111.9
2019,valor municipio,Cortes de Baza,18053.0,140.44
2019,valor municipio,Cortes y Graena,18054.0,22.44
2019,valor municipio,Cuevas del Campo,18912.0,96.53
2019,valor municipio,Cúllar,18056.0,427.21
2019,valor municipio,Cúllar Vega,18057.0,4.34
2019,valor municipio,Darro,18063.0,50.46
2019,valor municipio,Dehesas de Guadix,18064.0,56.91
2019,valor municipio,Dehesas Viejas,18065.0,13.79
2019,valor municipio,Deifontes,18066.0,40.45
2019,valor municipio,Diezma,18067.0,42.06
2019,valor municipio,Dílar,18068.0,79.22
2019,valor municipio,Dólar,18069.0,78.52
2019,valor municipio,Domingo Pérez de Granada,18915.0,48.65
2019,valor municipio,Dúdar,18070.0,8.36
2019,valor municipio,Dúrcal,18071.0,76.58
2019,valor municipio,Escúzar,18072.0,46.36
2019,valor municipio,Ferreira,18074.0,43.55
2019,valor municipio,Fonelas,18076.0,96.36
2019,valor municipio,Fornes,18077.0,15.14
2019,valor municipio,Freila,18078.0,74.45
2019,valor municipio,Fuente Vaqueros,18079.0,16.0
2019,valor municipio,Gabias (Las),18905.0,39.03
2019,valor municipio,Galera,18082.0,118.29
2019,valor municipio,Gobernador,18083.0,22.99
2019,valor municipio,Gójar,18084.0,12.0
2019,valor municipio,Gor,18085.0,180.89
2019,valor municipio,Gorafe,18086.0,76.99
2019,valor municipio,Granada,18087.0,88.06
2019,valor municipio,Guadahortuna,18088.0,121.15
2019,valor municipio,Guadix,18089.0,323.9
2019,valor municipio,Guájares (Los),18906.0,89.25
2019,valor municipio,Gualchos,18093.0,30.89
2019,valor municipio,Güéjar Sierra,18094.0,238.76
2019,valor municipio,Güevéjar,18095.0,9.74
2019,valor municipio,Huélago,18096.0,32.43
2019,valor municipio,Huéneja,18097.0,116.65
2019,valor municipio,Huéscar,18098.0,472.98
2019,valor municipio,Huétor de Santillán,18099.0,93.2
2019,valor municipio,Huétor Tájar,18100.0,39.92
2019,valor municipio,Huétor Vega,18101.0,4.23
2019,valor municipio,Íllora,18102.0,197.3
2019,valor municipio,Ítrabo,18103.0,19.0
2019,valor municipio,Iznalloz,18105.0,247.45
2019,valor municipio,Játar,18106.0,9.76
2019,valor municipio,Jayena,18107.0,79.47
2019,valor municipio,Jérez del Marquesado,18108.0,82.69
2019,valor municipio,Jete,18109.0,13.9
2019,valor municipio,Jun,18111.0,3.69
2019,valor municipio,Juviles,18112.0,14.97
2019,valor municipio,Láchar,18115.0,13.11
2019,valor municipio,Lanjarón,18116.0,60.33
2019,valor municipio,Lanteira,18117.0,52.74
2019,valor municipio,Lecrín,18119.0,40.46
2019,valor municipio,Lentegí,18120.0,23.74
2019,valor municipio,Lobras,18121.0,16.04
